,id,height,weight,age,position,jersey,salary,FLName,experience,Team,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Maurice Harkless,6591,79.0,210.0,27,SF,8,3623000.0,Maurice Harkless,8,Miami Heat,,542.0,327.0,22.9,2.8,5.9,47.8,0.6,1.8,32.5,0.8,1.4,61.2,1.2,2.5,3.7,0.9,0.7,1.0,2.0,0.9,7.1
Udonis Haslem,2184,80.0,235.0,40,PF,40,1620564.0,Udonis Haslem,17,Miami Heat,,858.0,500.0,25.1,3.1,6.3,48.9,0.0,0.1,8.6,1.4,1.9,75.5,1.9,4.8,6.7,0.8,0.3,0.5,2.4,0.9,7.6
Tyler Herro,4395725,77.0,200.0,20,SG,14,2582160.0,Tyler Herro,1,Miami Heat,,60.0,13.0,27.9,5.0,11.6,43.3,2.1,5.4,38.5,1.6,1.8,86.4,0.3,3.9,4.2,2.4,0.2,0.6,1.4,1.7,13.7
Andre Iguodala,2386,78.0,215.0,36,SG,28,15000000.0,Andre Iguodala,16,Miami Heat,,1133.0,781.0,33.1,4.3,9.3,46.5,0.9,2.7,33.3,2.5,3.5,70.9,0.9,4.1,5.1,4.3,0.5,1.5,1.8,1.9,12.0
Meyers Leonard,6605,84.0,260.0,28,F,0,9400000.0,Meyers Leonard,8,Miami Heat,,446.0,93.0,16.0,2.1,4.5,48.2,0.7,1.9,39.1,0.6,0.7,81.1,0.7,3.2,3.9,0.9,0.3,0.2,2.2,0.7,5.6
Kendrick Nunn,3056247,74.0,190.0,25,SG,25,1663861.0,Kendrick Nunn,1,Miami Heat,,71.0,67.0,28.4,5.7,13.2,43.5,1.9,5.6,34.7,1.2,1.5,85.4,0.3,2.3,2.6,3.2,0.2,0.8,2.2,1.6,14.7
KZ Okpala,4278521,80.0,215.0,21,SF,4,1517981.0,KZ Okpala,1,Miami Heat,,7.0,0.0,7.7,0.6,1.3,44.4,0.0,0.6,0.0,0.3,0.6,50.0,0.3,1.0,1.3,0.1,0.1,0.4,0.4,0.1,1.4
Kelly Olynyk,2489663,83.0,240.0,29,F,9,12598243.0,Kelly Olynyk,7,Miami Heat,,504.0,103.0,21.3,3.5,7.4,47.5,1.1,3.1,37.2,1.5,1.9,77.4,1.2,3.7,4.8,1.9,0.5,0.7,2.8,1.4,9.7
Duncan Robinson,3157465,79.0,215.0,26,F,55,1663861.0,Duncan Robinson,2,Miami Heat,,93.0,74.0,26.6,3.8,8.3,46.3,3.2,7.3,43.5,0.9,1.0,89.9,0.1,2.8,2.9,1.2,0.2,0.5,2.3,0.9,11.7
Chris Silva,3923253,80.0,230.0,24,PF,30,1517981.0,Chris Silva,1,Miami Heat,,46.0,0.0,7.7,1.0,1.7,61.5,0.0,0.1,0.0,0.8,1.2,68.4,1.3,1.4,2.7,0.5,0.5,0.2,1.9,0.7,2.9
Max Strus,4065778,77.0,220.0,24,SG,31,898310.0,Max Strus,1,Miami Heat,,3.0,0.0,6.0,1.7,2.7,62.5,0.3,1.3,25.0,0.3,0.3,100.0,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,4.0
Gabe Vincent,3137259,75.0,195.0,24,PG,2,0.0,Gabe Vincent,1,Miami Heat,R,10.0,0.0,9.8,1.0,4.3,23.3,0.8,3.2,25.0,0.1,0.1,100.0,0.0,0.7,0.7,0.8,0.0,0.5,1.0,0.1,2.9
Cole Anthony,4432809,75.0,190.0,20,PG,50,3285120.0,Cole Anthony,0,Orlando Magic,,6.0,0.0,19.8,2.8,9.2,30.9,0.5,2.5,20.0,2.5,2.5,100.0,1.5,3.5,5.0,3.3,0.0,0.5,1.7,0.8,8.7
Dwayne Bacon,3907821,78.0,221.0,25,SG,8,1678854.0,Dwayne Bacon,3,Orlando Magic,,141.0,36.0,16.3,2.1,5.2,40.5,0.5,1.5,34.1,0.7,0.9,72.1,0.2,2.2,2.4,1.0,0.1,0.4,1.3,0.6,5.4
Mo Bamba,4277919,84.0,250.0,22,C,5,5969040.0,Mo Bamba,2,Orlando Magic,,109.0,1.0,15.1,2.3,4.9,47.1,0.5,1.6,32.8,0.6,1.0,62.4,1.5,3.4,4.9,0.7,1.4,0.3,2.0,0.8,5.7
Khem Birch,2578240,81.0,230.0,28,C,24,3000000.0,Khem Birch,3,Orlando Magic,,146.0,25.0,15.4,1.7,3.1,54.5,0.0,0.0,0.0,1.2,1.8,68.8,1.7,2.5,4.2,0.9,0.5,0.4,1.6,0.5,4.6
Jordan Bone,4066212,75.0,185.0,23,PG,23,0.0,Jordan Bone,1,Orlando Magic,,11.0,0.0,5.6,0.6,2.2,29.2,0.2,1.0,18.2,0.0,0.0,0.0,0.1,0.5,0.5,0.8,0.0,0.1,0.5,0.2,1.5
Gary Clark,3132042,78.0,225.0,26,PF,12,2000000.0,Gary Clark,2,Orlando Magic,,96.0,7.0,13.0,1.1,3.0,36.2,0.8,2.6,31.5,0.2,0.2,94.4,0.7,1.8,2.5,0.4,0.5,0.3,1.0,0.2,3.2
Evan Fournier,6588,79.0,205.0,28,SG,10,17150000.0,Evan Fournier,8,Orlando Magic,,528.0,386.0,28.4,5.1,11.3,45.0,1.8,4.8,37.5,2.2,2.7,80.8,0.4,2.3,2.7,2.6,0.1,0.9,2.4,1.6,14.1
Markelle Fultz,4066636,76.0,209.0,22,PG,20,12288697.0,Markelle Fultz,3,Orlando Magic,,111.0,81.0,25.7,4.6,10.2,44.8,0.4,1.5,26.7,1.5,2.1,69.4,0.7,2.6,3.3,4.6,0.2,1.1,2.1,1.8,11.0
Aaron Gordon,3064290,81.0,235.0,25,PF,00,18136364.0,Aaron Gordon,6,Orlando Magic,,409.0,320.0,28.5,4.8,10.7,44.8,1.1,3.4,31.6,2.0,2.9,70.0,1.6,4.8,6.4,2.4,0.6,0.8,2.0,1.4,12.8
Jonathan Isaac,4065654,82.0,230.0,23,PF,1,7362566.0,Jonathan Isaac,3,Orlando Magic,L,136.0,106.0,25.8,3.5,8.0,43.5,1.0,3.0,33.0,1.4,1.7,79.7,1.3,4.2,5.4,1.1,1.5,1.1,2.0,1.1,9.3
Karim Mane,4432528,77.0,185.0,20,SG,4,0.0,Karim Mane,0,Orlando Magic,,1.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
Chuma Okeke,4278052,80.0,230.0,22,PF,3,3121080.0,Chuma Okeke,0,Orlando Magic,B,5.0,0.0,18.2,1.0,2.8,35.7,0.4,1.4,28.6,0.6,1.2,50.0,1.0,1.6,2.6,1.6,0.2,0.6,0.4,0.6,3.0
Terrence Ross,6619,79.0,206.0,29,SG,31,13500000.0,Terrence Ross,8,Orlando Magic,,566.0,176.0,24.7,4.1,9.7,42.1,1.9,5.2,37.1,1.1,1.3,83.1,0.4,2.5,2.8,1.1,0.3,0.9,1.7,0.9,11.1
Nikola Vucevic,6478,84.0,260.0,30,C,9,26000000.0,Nikola Vucevic,9,Orlando Magic,,604.0,543.0,30.3,7.0,14.0,49.9,0.5,1.4,34.0,1.6,2.2,74.5,2.7,7.6,10.2,2.6,0.9,0.9,2.5,1.7,16.2
Deni Avdija,4683021,81.0,210.0,19,SF,9,4469160.0,Deni Avdija,0,Washington Wizards,,7.0,7.0,24.7,2.6,5.3,48.6,1.6,3.3,47.8,0.4,0.7,60.0,0.4,4.1,4.6,2.4,0.3,1.3,2.7,0.7,7.1
Bradley Beal,6580,75.0,207.0,27,SG,3,28751775.0,Bradley Beal,8,Washington Wizards,B,552.0,518.0,34.6,7.7,17.0,45.2,2.3,6.0,37.9,3.5,4.3,80.8,0.8,3.2,4.0,4.0,0.4,1.1,2.2,2.3,21.1
Davis Bertans,6426,82.0,225.0,28,SF,42,15000000.0,Davis Bertans,4,Washington Wizards,,281.0,32.0,18.7,2.7,6.1,43.8,1.9,4.6,40.8,0.9,1.0,85.0,0.4,2.4,2.8,1.1,0.4,0.4,1.6,0.6,8.1
Isaac Bonga,4348697,80.0,180.0,21,SF,17,1663861.0,Isaac Bonga,2,Washington Wizards,,93.0,53.0,15.5,1.4,3.0,46.8,0.3,0.9,34.1,0.8,1.1,77.2,0.9,1.9,2.8,1.0,0.3,0.6,1.9,0.7,4.0
Thomas Bryant,3934723,82.0,248.0,23,C,13,8333333.0,Thomas Bryant,3,Washington Wizards,,140.0,96.0,20.9,4.4,7.3,60.1,0.6,1.6,36.7,1.5,2.0,74.7,1.6,4.4,6.1,1.4,0.9,0.4,1.9,0.9,10.8
Anthony Gill,2581184,80.0,230.0,28,PF,16,898310.0,Anthony Gill,0,Washington Wizards,,2.0,0.0,4.0,0.5,0.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5
Rui Hachimura,4066648,80.0,230.0,22,PF,8,4692840.0,Rui Hachimura,1,Washington Wizards,,51.0,51.0,29.8,5.3,11.2,46.9,0.5,1.8,29.3,2.5,3.1,81.6,1.6,4.4,6.0,1.9,0.2,0.8,2.2,1.1,13.6
Robin Lopez,3447,84.0,281.0,32,C,42,7300000.0,Robin Lopez,12,Washington Wizards,,839.0,585.0,22.3,3.7,6.9,52.9,0.1,0.2,30.0,1.4,1.8,74.7,2.3,2.8,5.0,0.8,1.2,0.2,2.0,1.1,8.7
Garrison Mathews,3913180,79.0,204.0,24,SG,24,0.0,Garrison Mathews,1,Washington Wizards,,20.0,0.0,11.9,1.3,3.0,41.7,1.0,2.5,40.0,1.6,1.7,91.2,0.3,1.0,1.3,0.6,0.1,0.4,1.6,0.4,5.1
Raul Neto,2968361,73.0,180.0,28,PG,19,1620564.0,Raul Neto,5,Washington Wizards,,260.0,59.0,13.9,1.9,4.2,45.1,0.6,1.6,38.4,0.6,0.8,78.9,0.2,1.1,1.3,1.9,0.1,0.5,1.2,0.9,5.0
Anzejs Pasecniks,3893059,86.0,229.0,25,C,18,1517981.0,Anzejs Pasecniks,1,Washington Wizards,,28.0,0.0,15.8,2.2,4.2,52.1,0.0,0.1,0.0,1.2,2.1,58.6,1.5,2.3,3.9,0.7,0.4,0.3,2.8,1.0,5.6
Jerome Robinson,3943606,76.0,190.0,23,SG,12,3737520.0,Jerome Robinson,2,Washington Wizards,,100.0,6.0,13.6,1.6,4.4,37.7,0.7,2.2,31.9,0.5,0.7,71.0,0.2,1.6,1.8,1.1,0.2,0.4,1.7,0.7,4.5
Ish Smith,4305,72.0,175.0,32,PG,14,6000000.0,Ish Smith,10,Washington Wizards,,617.0,165.0,20.1,3.3,7.7,42.9,0.4,1.3,32.0,0.8,1.1,68.1,0.4,2.1,2.5,3.9,0.2,0.7,1.3,1.3,7.8
Moritz Wagner,3150844,83.0,245.0,23,C,21,2161920.0,Moritz Wagner,2,Washington Wizards,,90.0,10.0,14.4,2.4,4.9,49.8,0.5,1.8,30.4,1.3,1.6,81.8,0.8,2.6,3.4,0.9,0.4,0.4,2.4,1.2,6.8
Russell Westbrook,3468,75.0,200.0,32,PG,4,41358814.0,Russell Westbrook,12,Washington Wizards,,883.0,865.0,34.6,8.2,18.8,43.7,1.1,3.7,30.4,5.7,7.1,79.9,1.7,5.4,7.1,8.3,0.3,1.7,2.6,4.1,23.2
Cassius Winston,4066382,73.0,185.0,22,PG,5,0.0,Cassius Winston,0,Washington Wizards,,,,,,,,,,,,,,,,,,,,,,
Tyler Bey,4278502,79.0,216.0,22,SG,2,0.0,Tyler Bey,0,Dallas Mavericks,R,,,,,,,,,,,,,,,,,,,,,
Jalen Brunson,3934672,73.0,190.0,24,PG,13,1663861.0,Jalen Brunson,2,Dallas Mavericks,,136.0,55.0,20.1,3.5,7.4,47.0,0.8,2.3,35.1,1.2,1.6,76.8,0.3,2.0,2.4,3.2,0.1,0.5,1.5,1.2,9.0
Trey Burke,2579260,72.0,185.0,28,PG,3,3000000.0,Trey Burke,7,Dallas Mavericks,B,400.0,129.0,22.9,4.1,9.9,41.0,1.2,3.5,34.5,1.2,1.5,80.1,0.4,1.6,2.0,3.5,0.1,0.6,1.4,1.3,10.5
Luka Doncic,3945274,79.0,230.0,21,PG,77,8049360.0,Luka Doncic,2,Dallas Mavericks,,138.0,138.0,32.8,8.2,18.4,44.5,2.5,7.9,31.7,5.8,7.9,73.9,1.2,7.3,8.5,7.2,0.3,1.0,2.2,3.8,24.7
Josh Green,4432811,78.0,210.0,20,SG,8,2816760.0,Josh Green,0,Dallas Mavericks,,5.0,0.0,6.0,0.4,0.8,50.0,0.0,0.0,0.0,0.4,0.4,100.0,0.4,0.6,1.0,0.4,0.0,0.0,0.0,0.4,1.2
Nate Hinton,4396629,77.0,210.0,21,SG,14,0.0,Nate Hinton,0,Dallas Mavericks,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes Iwundu,3074797,79.0,195.0,26,SF,25,1678854.0,Wes Iwundu,3,Dallas Mavericks,,185.0,46.0,17.4,1.7,4.0,42.0,0.4,1.1,31.9,1.1,1.3,79.1,0.5,1.9,2.4,1.0,0.3,0.5,1.5,0.5,4.8
James Johnson,3999,79.0,240.0,33,PF,16,16047100.0,James Johnson,11,Dallas Mavericks,,640.0,220.0,20.6,3.1,6.6,47.6,0.5,1.6,31.0,1.2,1.7,69.2,0.8,2.8,3.6,2.1,0.9,0.8,2.2,1.5,7.9
Maxi Kleber,2960236,82.0,240.0,28,PF,42,8325000.0,Maxi Kleber,3,Dallas Mavericks,,223.0,74.0,21.3,2.6,5.5,46.6,1.1,3.1,35.9,0.9,1.1,80.8,1.2,3.1,4.4,1.0,1.0,0.4,2.0,0.7,7.2
Boban Marjanovic,4376,88.0,290.0,32,C,51,3500000.0,Boban Marjanovic,5,Dallas Mavericks,,234.0,22.0,9.7,2.3,4.0,58.1,0.0,0.1,27.6,1.5,2.0,76.7,1.4,2.6,4.0,0.5,0.4,0.2,1.2,0.7,6.2
Dwight Powell,2531367,82.0,240.0,29,C,7,11080125.0,Dwight Powell,6,Dallas Mavericks,,377.0,94.0,18.8,2.8,5.1,56.3,0.3,0.9,29.4,1.7,2.3,73.8,1.5,3.1,4.6,1.0,0.5,0.7,2.1,0.7,7.7
Josh Richardson,2581190,77.0,200.0,27,SG,0,10865952.0,Josh Richardson,5,Dallas Mavericks,,320.0,249.0,30.7,4.5,10.7,42.6,1.6,4.4,36.3,1.7,2.1,81.9,0.7,2.5,3.2,2.9,0.7,1.1,2.5,1.5,12.4
Tyrell Terry,4431747,74.0,170.0,20,PG,1,1289846.0,Tyrell Terry,0,Dallas Mavericks,L,4.0,0.0,3.5,0.3,1.3,20.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.5,0.0,0.3,0.3,0.0,0.5
Sterling Brown,3057187,77.0,219.0,25,SG,0,1620564.0,Sterling Brown,3,Houston Rockets,,168.0,12.0,15.9,2.0,4.7,42.4,0.8,2.3,35.5,0.5,0.6,77.4,0.5,2.6,3.1,1.0,0.2,0.5,1.4,0.7,5.3
Bruno Caboclo,3113297,81.0,218.0,25,SF,5,2028594.0,Bruno Caboclo,6,Houston Rockets,,101.0,20.0,12.7,1.6,3.9,39.7,0.6,2.0,31.0,0.5,0.6,84.6,0.8,1.8,2.6,0.7,0.6,0.4,1.3,0.7,4.3
Chris Clemons,3906603,69.0,180.0,23,PG,3,1517981.0,Chris Clemons,1,Houston Rockets,B,33.0,0.0,8.8,1.7,4.3,40.1,1.1,3.2,34.6,0.3,0.3,90.9,0.1,0.8,0.9,0.8,0.2,0.3,0.8,0.6,4.9
DeMarcus Cousins,4258,82.0,270.0,30,C,15,1620564.0,DeMarcus Cousins,9,Houston Rockets,,567.0,543.0,31.9,7.6,16.4,46.1,0.6,1.8,33.2,5.5,7.4,73.7,2.8,8.1,10.8,3.2,1.2,1.4,3.8,3.5,21.2
Eric Gordon,3431,75.0,215.0,32,SG,10,16869276.0,Eric Gordon,12,Houston Rockets,,667.0,511.0,32.8,5.6,13.3,42.5,2.3,6.3,36.9,3.0,3.7,81.2,0.4,2.1,2.5,2.8,0.3,0.9,2.0,2.0,16.6
James Harden,3992,77.0,220.0,31,SG,13,41254920.0,James Harden,11,Houston Rockets,,836.0,623.0,34.3,7.4,16.7,44.4,2.8,7.7,36.4,7.6,8.8,85.8,0.8,4.6,5.3,6.3,0.5,1.6,2.6,3.7,25.2
Mason Jones,4395704,77.0,200.0,22,SG,9,0.0,Mason Jones,0,Houston Rockets,,,,,,,,,,,,,,,,,,,,,,
Ben McLemore,2578213,75.0,195.0,27,G,16,2283034.0,Ben McLemore,7,Houston Rockets,,439.0,257.0,23.6,3.2,7.7,42.1,1.4,3.9,36.6,1.1,1.5,77.9,0.4,2.0,2.4,1.1,0.2,0.7,2.2,1.2,9.0
David Nwaba,3062744,77.0,219.0,27,SG,0,1824003.0,David Nwaba,4,Houston Rockets,,164.0,39.0,20.5,2.6,5.3,49.0,0.3,1.0,33.9,1.5,2.2,66.2,1.0,2.7,3.7,1.1,0.4,0.7,2.1,0.8,7.0
Brodric Thomas,4407254,77.0,185.0,23,SG,33,0.0,Brodric Thomas,0,Houston Rockets,,2.0,0.0,9.0,0.5,2.0,25.0,0.0,1.5,0.0,1.5,2.5,60.0,0.5,1.0,1.5,2.0,0.0,0.0,2.5,1.5,2.5
John Wall,4237,76.0,210.0,30,PG,1,41254920.0,John Wall,9,Houston Rockets,L,575.0,563.0,35.9,6.9,15.9,43.3,0.9,2.9,32.3,4.3,5.5,78.1,0.6,3.8,4.3,9.2,0.7,1.7,2.2,3.8,19.0
Christian Wood,3058254,82.0,223.0,25,PF,35,13015873.0,Christian Wood,4,Houston Rockets,,117.0,18.0,16.9,3.6,6.6,54.7,0.6,1.7,36.7,2.2,3.0,72.9,1.3,3.6,5.0,0.7,0.7,0.5,1.3,1.0,10.0
Grayson Allen,3135045,76.0,198.0,25,SG,3,2545320.0,Grayson Allen,2,Memphis Grizzlies,B,81.0,6.0,15.3,2.3,5.6,41.6,1.1,3.2,35.8,1.1,1.4,80.7,0.2,1.3,1.5,1.1,0.1,0.2,1.3,0.9,7.0
Kyle Anderson,2993874,80.0,230.0,27,F,1,9505100.0,Kyle Anderson,6,Memphis Grizzlies,L,373.0,174.0,19.8,2.2,4.6,48.6,0.2,0.8,30.8,0.9,1.2,70.5,0.7,3.3,4.0,2.0,0.5,0.9,1.4,0.9,5.6
Desmond Bane,4066320,78.0,215.0,22,SG,22,1936440.0,Desmond Bane,0,Memphis Grizzlies,,6.0,0.0,23.0,3.5,7.3,47.7,2.3,4.7,50.0,0.2,0.3,50.0,0.7,1.8,2.5,1.0,0.0,0.7,2.3,1.2,9.5
Dillon Brooks,3155526,79.0,220.0,24,SG,24,11400000.0,Dillon Brooks,3,Memphis Grizzlies,,179.0,153.0,27.8,4.8,11.6,41.8,1.5,4.2,35.6,1.8,2.3,78.2,0.8,2.4,3.1,1.8,0.3,0.9,3.3,1.6,13.0
Brandon Clarke,3906665,80.0,210.0,24,PF,15,2602920.0,Brandon Clarke,1,Memphis Grizzlies,,64.0,6.0,22.8,5.0,8.5,59.7,0.4,1.2,32.9,1.4,2.0,71.9,1.6,4.3,5.9,1.4,0.8,0.5,1.7,0.9,11.9
Gorgui Dieng,2534781,82.0,252.0,30,C,14,17287640.0,Gorgui Dieng,7,Memphis Grizzlies,,521.0,204.0,22.0,3.0,6.0,50.0,0.2,0.7,34.5,1.6,2.0,78.9,1.8,4.3,6.1,1.4,1.0,0.8,2.3,1.2,7.9
Tyus Jones,3135046,72.0,196.0,24,PG,21,8817143.0,Tyus Jones,5,Memphis Grizzlies,,318.0,43.0,18.1,2.1,5.0,43.0,0.6,1.6,33.9,0.7,0.9,80.2,0.2,1.4,1.6,3.6,0.1,1.0,1.0,0.7,5.6
John Konchar,3134932,77.0,210.0,24,SG,46,2100000.0,John Konchar,1,Memphis Grizzlies,,24.0,0.0,11.6,1.4,2.5,56.7,0.3,0.8,44.4,0.3,0.3,87.5,1.0,2.0,2.9,1.5,0.2,0.6,0.5,0.3,3.5
Sean McDermott,3908903,78.0,195.0,24,SG,30,0.0,Sean McDermott,0,Memphis Grizzlies,,3.0,0.0,14.0,0.7,2.3,28.6,0.3,1.7,20.0,0.7,0.7,100.0,0.7,0.3,1.0,1.0,0.0,0.0,0.3,1.0,2.3
Ja Morant,4279888,75.0,175.0,21,PG,12,9166800.0,Ja Morant,1,Memphis Grizzlies,,70.0,70.0,30.8,6.8,14.2,48.1,0.9,2.7,33.5,3.6,4.7,78.0,0.8,3.0,3.8,7.2,0.3,0.9,1.7,3.2,18.2
Jontay Porter,4278103,82.0,236.0,21,PF,4,1900000.0,Jontay Porter,0,Memphis Grizzlies,,,,,,,,,,,,,,,,,,,,,,
Killian Tillie,4066651,82.0,220.0,22,C,35,0.0,Killian Tillie,0,Memphis Grizzlies,,,,,,,,,,,,,,,,,,,,,,
Xavier Tillman,4277964,80.0,245.0,21,PF,2,1300000.0,Xavier Tillman,0,Memphis Grizzlies,R,1.0,0.0,17.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0
Jonas Valanciunas,6477,83.0,265.0,28,C,17,15000000.0,Jonas Valanciunas,8,Memphis Grizzlies,,565.0,537.0,25.3,4.9,8.8,56.2,0.1,0.4,35.7,2.4,3.1,77.9,2.6,6.3,8.9,0.9,1.0,0.4,2.8,1.6,12.5
Justise Winslow,3135047,78.0,225.0,24,PF,7,13000000.0,Justise Winslow,5,Memphis Grizzlies,,241.0,105.0,28.4,3.6,8.5,41.7,0.8,2.3,33.7,1.2,1.8,64.6,1.0,4.3,5.4,2.7,0.4,0.9,2.5,1.5,9.0
Steven Adams,2991235,83.0,265.0,27,C,12,29592696.0,Steven Adams,7,New Orleans Pelicans,,536.0,472.0,26.8,4.1,6.9,58.9,0.0,0.0,10.0,1.6,3.0,55.6,3.4,4.2,7.6,1.2,1.0,0.9,2.6,1.4,9.8
Lonzo Ball,4066421,78.0,190.0,23,PG,2,11003782.0,Lonzo Ball,3,New Orleans Pelicans,R,168.0,155.0,32.3,4.1,10.6,39.0,1.9,5.7,33.9,0.6,1.2,49.0,1.2,4.9,6.1,6.5,0.6,1.5,2.2,2.7,10.8
Eric Bledsoe,4238,73.0,214.0,31,PG,5,16875000.0,Eric Bledsoe,10,New Orleans Pelicans,,637.0,475.0,27.8,5.0,11.0,45.7,1.1,3.2,33.7,3.0,3.8,79.3,0.8,3.2,4.0,4.8,0.5,1.4,2.0,2.6,14.2
Wenyen Gabriel,4066264,81.0,205.0,23,PF,32,1620564.0,Wenyen Gabriel,1,New Orleans Pelicans,,30.0,1.0,7.8,0.7,1.6,43.8,0.2,0.7,30.0,0.5,0.7,68.2,0.7,1.0,1.7,0.3,0.2,0.4,1.3,0.5,2.1
Josh Hart,3062679,77.0,215.0,25,SG,3,3491159.0,Josh Hart,3,New Orleans Pelicans,B,201.0,61.0,25.4,3.0,7.0,43.0,1.5,4.2,35.2,1.1,1.5,71.1,0.7,4.2,4.9,1.4,0.4,0.9,2.1,0.9,8.6
Jaxson Hayes,4397077,83.0,220.0,20,C,10,5105160.0,Jaxson Hayes,1,New Orleans Pelicans,,70.0,14.0,16.4,2.5,3.8,66.0,0.0,0.1,25.0,1.8,2.8,65.2,1.5,2.6,4.1,0.9,0.8,0.4,2.5,0.8,6.9
Willy Hernangomez,2999409,83.0,250.0,26,C,9,1620564.0,Willy Hernangomez,4,New Orleans Pelicans,,210.0,26.0,14.3,2.7,5.1,53.0,0.1,0.4,33.0,1.4,2.0,68.2,1.9,3.5,5.4,1.0,0.4,0.4,1.6,1.1,6.9
Brandon Ingram,3913176,79.0,190.0,23,SF,14,27285000.0,Brandon Ingram,4,New Orleans Pelicans,,258.0,219.0,32.2,6.0,13.1,46.0,1.1,3.1,36.3,3.4,4.6,72.5,0.8,4.3,5.1,3.3,0.6,0.7,2.5,2.3,16.5
Will Magnay,4278783,82.0,234.0,22,PF,25,0.0,Will Magnay,0,New Orleans Pelicans,,,,,,,,,,,,,,,,,,,,,,
Naji Marshall,4278594,79.0,220.0,22,SF,8,0.0,Naji Marshall,0,New Orleans Pelicans,,,,,,,,,,,,,,,,,,,,,,
Nicolo Melli,4341,81.0,236.0,29,PF,20,4102564.0,Nicolo Melli,1,New Orleans Pelicans,,65.0,8.0,16.9,2.1,5.2,41.4,1.1,3.3,32.9,0.9,1.2,74.0,0.6,2.4,3.0,1.4,0.4,0.6,2.0,0.8,6.2
JJ Redick,3024,75.0,200.0,36,SG,4,13013700.0,JJ Redick,14,New Orleans Pelicans,,902.0,488.0,25.9,4.3,9.7,44.7,2.1,5.1,41.5,2.2,2.5,89.1,0.2,1.9,2.1,2.0,0.1,0.5,1.5,1.1,13.0
Sindarius Thornwell,3064539,76.0,215.0,26,SG,15,1620564.0,Sindarius Thornwell,3,New Orleans Pelicans,,141.0,17.0,10.7,0.9,2.1,42.0,0.2,0.6,34.6,0.6,0.9,68.3,0.3,1.1,1.3,0.6,0.2,0.5,1.2,0.5,2.6
Zion Williamson,4395628,78.0,284.0,20,SF,1,10245480.0,Zion Williamson,1,New Orleans Pelicans,L,30.0,30.0,28.4,8.5,14.7,57.7,0.2,0.5,37.5,4.7,7.5,62.8,2.8,3.8,6.6,1.9,0.4,0.8,1.9,2.5,21.9
LaMarcus Aldridge,2983,83.0,265.0,35,PF,12,24000000.0,LaMarcus Aldridge,14,San Antonio Spurs,,1006.0,965.0,34.4,7.9,16.1,49.1,0.2,0.6,30.9,3.6,4.4,81.1,2.7,5.7,8.3,2.0,1.1,0.7,2.5,1.6,19.5
DeMar DeRozan,3978,79.0,220.0,31,SG,10,27739975.0,DeMar DeRozan,11,San Antonio Spurs,,826.0,814.0,34.1,7.2,15.7,45.8,0.4,1.5,28.5,5.2,6.3,82.9,0.7,3.6,4.4,3.6,0.3,1.0,2.3,2.1,20.1
Drew Eubanks,3914285,82.0,245.0,23,PF,14,1620564.0,Drew Eubanks,2,San Antonio Spurs,,48.0,3.0,9.2,1.3,2.2,57.5,0.0,0.0,100.0,0.7,0.9,79.1,0.7,2.0,2.8,0.5,0.6,0.2,1.1,0.6,3.3
Rudy Gay,3005,80.0,240.0,34,SF,22,14500000.0,Rudy Gay,14,San Antonio Spurs,,952.0,776.0,33.1,6.5,14.2,45.5,1.0,3.0,34.6,3.1,3.9,79.9,1.4,4.5,5.9,2.2,0.8,1.2,2.4,2.2,17.1
Keldon Johnson,4395723,78.0,210.0,21,SG,3,2048040.0,Keldon Johnson,1,San Antonio Spurs,B,23.0,7.0,20.8,3.8,7.0,55.0,1.0,1.9,51.2,2.3,2.8,81.5,0.8,3.7,4.4,1.3,0.3,1.0,1.8,1.2,10.9
Tre Jones,4395626,75.0,185.0,20,PG,33,898310.0,Tre Jones,0,San Antonio Spurs,,2.0,0.0,5.0,2.0,3.5,57.1,0.0,0.0,0.0,1.5,1.5,100.0,1.5,0.0,1.5,0.5,0.0,0.0,0.0,0.0,5.5
Trey Lyles,3136196,82.0,235.0,25,PF,41,5500000.0,Trey Lyles,5,San Antonio Spurs,,354.0,94.0,17.9,2.8,6.4,43.3,0.9,2.6,34.1,0.9,1.3,70.6,0.8,3.4,4.2,1.1,0.3,0.4,1.4,0.8,7.4
Patty Mills,4004,72.0,180.0,32,PG,8,13535714.0,Patty Mills,11,San Antonio Spurs,,677.0,56.0,19.4,3.2,7.3,43.2,1.6,4.1,39.1,0.9,1.0,85.4,0.3,1.4,1.7,2.3,0.1,0.7,1.3,1.0,8.8
